"source_path","filename","size_bytes","publish_year_detected","target_year","doc_type_guess","rule_applied","staged_path"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_bg-odds.pdf","23_bg-odds.pdf","3041049","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\FD8AD8D4__23_bg-odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_cougar_annual_report.pdf","23_cougar_annual_report.pdf","1293478","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\2CDD66FE__23_cougar_annual_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_deer_odds.pdf","23_deer_odds.pdf","463470","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\14C8C0BB__23_deer_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_dh_odds.pdf","23_dh_odds.pdf","179888","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\337BF5F9__23_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_drawing_odds BEAR.pdf","23_drawing_odds BEAR.pdf","444780","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\C263CE57__23_drawing_odds BEAR.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_lifetime_deer.pdf","23_lifetime_deer.pdf","412919","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\0E9F663C__23_lifetime_deer.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_antlerless_drawing_odds_report.pdf","23_youth_antlerless_drawing_odds_report.pdf","689163","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\0DC71A33__23_youth_antlerless_drawing_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_deer.pdf","23_youth_deer.pdf","439421","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\08B0DC78__23_youth_deer.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_dh_odds.pdf","23_youth_dh_odds.pdf","148486","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\26F98064__23_youth_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_elk.pdf","23_youth_elk.pdf","76712","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\45424E60__23_youth_elk.pdf"
