hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,res_permits,non_res_permits,total_permits,permits_2025_res,permits_2025_nr,permits_2025_total,source_file,source_sheet
Mt Dutton,EB3187,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,22,3,,22,3,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3188,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3189,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,20,2,,20,2,,2026 Elk.xlsx,Sheet1
Boulder,EB3190,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,4,1,,4,1,,2026 Elk.xlsx,Sheet1
Boulder,EB3191,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,37,4,,37,4,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EB3192,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3193,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3194,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,33,4,,33,4,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3195,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,4,1,,4,1,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3196,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,17,2,,17,2,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3197,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,18,2,,18,2,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3198,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,46,5,,46,5,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3199,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
East Canyon,EB3205,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Dec 19 2026 - Dec 27 2026,7,1,,7,1,,2026 Elk.xlsx,Sheet1
Morgan-South Rich,EB3208,Bull,Elk,Any Legal Weapon,Limited Entry,Dec 19 2026 - Dec 27 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
"Box Elder, Pilot Mtn",EB3209,Bull,Elk,Multiseason,Conservation,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",,,,,,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EB3210,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,5,0,,5,0,,2026 Elk.xlsx,Sheet1
Alton CWMU,EB3500,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Bar J Ranch CWMU,EB3501,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Bear Mountain CWMU,EB3502,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Bear Springs CWMU,EB3503,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Blackhawk CWMU,EB3504,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Boobe Hole CWMU,EB3505,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Causey Spring CWMU,EB3506,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Chimney Rock CWMU,EB3508,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Coldwater Ranch CWMU,EB3509,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,,3,0,,2026 Elk.xlsx,Sheet1
Cotton Thomas CWMU,EB3511,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Deseret CWMU,EB3514,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,19,0,,19,0,,2026 Elk.xlsx,Sheet1
Double Cone CWMU,EB3515,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Durst Mountain CWMU,EB3516,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,,3,0,,2026 Elk.xlsx,Sheet1
East Fork Chalk Creek CWMU,EB3517,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,,3,0,,2026 Elk.xlsx,Sheet1
Ensign Ranches CWMU,EB3519,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,6,0,,6,0,,2026 Elk.xlsx,Sheet1
Folley Ridge CWMU,EB3520,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Grass Valley/Clark Canyon CWMU,EB3521,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,10,0,,10,0,,2026 Elk.xlsx,Sheet1
Grazing Pasture CWMU,EB3522,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Guildersleeve CWMU,EB3523,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Hardscrabble CWMU,EB3524,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Heaston East CWMU,EB3525,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Hiawatha CWMU,EB3526,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Indian Head CWMU,EB3527,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Ingham Peak CWMU,EB3528,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Circle E Ranch CWMU,EB3529,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Jacob's Creek CWMU,EB3530,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Johnson Mountain Ranch CWMU,EB3531,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Jump Creek CWMU,EB3532,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Junction Valley CWMU,EB3533,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Little Red Creek CWMU,EB3534,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Minnie Maud Ridge CWMU,EB3536,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,5,0,,5,0,,2026 Elk.xlsx,Sheet1
Moon Ranch CWMU,EB3538,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Old Woman Plateau CWMU,EB3540,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Patmos Ridge CWMU,EB3541,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Preston Nutter Ranch CWMU,EB3543,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,,3,0,,2026 Elk.xlsx,Sheet1
Redd Ranches CWMU,EB3544,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Cactus Ranch LLC CWMU,EB3545,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,,3,0,,2026 Elk.xlsx,Sheet1
Roan Cliffs CWMU,EB3546,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Sand Creek CWMU,EB3547,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Scofield Canyons CWMU,EB3548,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Scofield East CWMU,EB3549,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Scofield West CWMU,EB3550,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
SJ Ranch CWMU,EB3551,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Skull Crack CWMU,EB3552,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Soldier Summit CWMU,EB3553,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
South Canyon CWMU,EB3554,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Spring Creek/Dodge CWMU,EB3555,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Strawberry Ridge CWMU,EB3557,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Summit Point CWMU,EB3558,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Three C CWMU,EB3559,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Wallsburg CWMU,EB3562,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Woodruff Creek South CWMU,EB3564,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
North Peaks CWMU,EB3565,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Pahvant Ensign CWMU,EB3603,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Double R Ranch CWMU,EB3604,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Mountain Sky Ranch CWMU,EB3606,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
West Willow Creek Ranch CWMU,EB3607,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Avintaquin Canyon CWMU,EB3608,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Sharp Mountain CWMU,EB3610,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
West Ridge CWMU,EB3611,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,,2,0,,2026 Elk.xlsx,Sheet1
Little Pole Canyon CWMU,EB3613,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Tunnel Hollow CWMU,EB3614,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
Weber Florence Creek/Stillman Creek CWMU,EB3619,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,10,0,,10,0,,2026 Elk.xlsx,Sheet1
The Dirty Dozen,EB3620,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,,1,0,,2026 Elk.xlsx,Sheet1
"Beaver, East",EL3000,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EL3002,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EL3003,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, South",EL3005,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Manti,EL3006,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EL3008,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, La Sal Mtns",EL3009,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Monroe,EL3010,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Mt Dutton,EL3011,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EL3013,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EL3015,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EL3018,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EL3019,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EL3020,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EL3022,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Beaver, East",EL3024,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Beaver, East",EL3025,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EL3028,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Box Elder, Pilot Mtn",EL3031,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EL3032,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EL3033,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, South",EL3036,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, South",EL3037,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Manti,EL3038,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Manti,EL3039,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EL3042,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EL3043,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, Dolores Triangle",EL3044,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Dec 06 2025 - Jan 31 2026 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, La Sal Mtns",EL3045,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, La Sal Mtns",EL3046,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Monroe,EL3047,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Monroe,EL3048,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Mt Dutton,EL3049,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Mt Dutton,EL3050,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EL3053,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EL3056,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EL3057,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EL3063,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EL3064,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EL3065,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EL3066,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EL3067,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EL3068,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EL3069,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EL3072,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EL3073,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Beaver, East",EL3077,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EL3079,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EL3081,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, South",EL3083,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Manti,EL3084,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EL3086,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"La Sal, La Sal Mtns",EL3087,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Monroe,EL3088,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Mt Dutton,EL3089,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EL3091,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EL3093,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EL3096,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EL3097,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EL3098,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EL3100,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Manti,EL3126,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EL3127,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Box Elder, Pilot Mtn",EL3130,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 07 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, North",EL3132,Bull,Elk,Archery,Limited Entry - Private Land Only,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Barney Top/Kaiparowits,EL3135,Bull,Elk,Archery,Limited Entry - Private Land Only,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, North",EL3136,Bull,Elk,Archery,Limited Entry - Private Land Only,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"West Desert, Deep Creek",EL3137,Bull,Elk,Archery,Limited Entry - Private Land Only,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Cache, North",EL3139,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
Barney Top/Kaiparowits,EL3142,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"Southwest Desert, North",EL3143,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
"West Desert, Deep Creek",EL3144,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,,,,2026 Elk.xlsx,Sheet1
