year,hunt_number,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,access_type,permits_res,permits_nr,permits_total,hunters,harvest,success_percent,avg_days,satisfaction,source_type
2026,LO1542,Nine Mile,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1543,North Slope,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1543,North Slope,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1544,Ogden,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,4.0,4.0,100.0,2.8,4.8,2025 carry-forward / hunt_join_2025
2026,LO1544,Ogden,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1546,Panguitch Lake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,5.0,2.0,40.0,4.8,4.3,2025 carry-forward / hunt_join_2025
2026,LO1546,Panguitch Lake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1547,Pine Valley,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,2.0,2.0,100.0,7.0,5.0,2025 carry-forward / hunt_join_2025
2026,LO1547,Pine Valley,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1549,Fishlake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1549,Fishlake,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1551,"San Juan, Abajo Mtns",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,8.0,7.0,87.5,3.0,4.2,2025 carry-forward / hunt_join_2025
2026,LO1551,"San Juan, Abajo Mtns",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1552,Vernal/Bonanza,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,4.0,3.0,75.0,1.3,4.0,2025 carry-forward / hunt_join_2025
2026,LO1552,Vernal/Bonanza,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1553,Yellowstone,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,13.0,8.0,61.5,3.6,4.3,2025 carry-forward / hunt_join_2025
2026,LO1553,Yellowstone,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1554,Southwest Desert,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,9.0,4.0,44.4,4.0,3.4,2025 carry-forward / hunt_join_2025
2026,LO1554,Southwest Desert,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1555,"Wasatch Mtns, East",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,6.0,4.0,66.7,3.4,5.0,2025 carry-forward / hunt_join_2025
2026,LO1555,"Wasatch Mtns, East",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1556,"Wasatch Mtns, West",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,1.0,1.0,100.0,3.0,3.0,2025 carry-forward / hunt_join_2025
2026,LO1556,"Wasatch Mtns, West",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1559,Zion,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,26.0,9.0,34.6,3.3,2.9,2025 carry-forward / hunt_join_2025
2026,LO1559,Zion,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1561,Box Elder,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1561,Box Elder,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1563,Manti/San Rafael,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1563,Manti/San Rafael,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1564,Nebo,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1564,Nebo,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1566,Fillmore,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1566,Fillmore,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1568,Kamas,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1568,Kamas,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1569,"La Sal, La Sal Mtns",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1569,"La Sal, La Sal Mtns",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1570,Monroe,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1570,Monroe,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1571,Mt Dutton,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1571,Mt Dutton,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1572,Nine Mile,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,1.0,1.0,100.0,3.0,5.0,2025 carry-forward / hunt_join_2025
2026,LO1572,Nine Mile,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1573,North Slope,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1573,North Slope,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1574,Ogden,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1574,Ogden,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1576,Panguitch Lake,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,2.0,1.0,50.0,3.0,3.5,2025 carry-forward / hunt_join_2025
2026,LO1576,Panguitch Lake,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1577,Pine Valley,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1577,Pine Valley,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1579,Fishlake,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1579,Fishlake,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1581,"San Juan, Abajo Mtns",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,1.0,0.0,0.0,5.0,2.0,2025 carry-forward / hunt_join_2025
2026,LO1581,"San Juan, Abajo Mtns",Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1582,Vernal/Bonanza,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1582,Vernal/Bonanza,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1583,Yellowstone,Deer,Male Only,General Season - Private Land Only,Muzzleloader,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
