huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
EA1236,85,296,250,5.6,34.1,21
EA1244,12,100,81,4.5,14.7,29
EA1245,5,49,39,4.9,13.5,89
EA1250,7,30,29,6,25,3
EA1251,6,14,13,2.6,50,20
EA1254,3,17,14,7,25,14
EA1256,4,12,11,2.6,36.4,17
EA1259,3,3,3,1,100,1
EA1261,4,5,5,5.4,80,4
EA1264,33,97,92,3.4,36.3,17
EA1265,47,97,86,2.5,54.4,17
EA1266,3,20,18,7.3,18.8,1
EA1267,19,120,112,6.1,17.3,2
EA1269,59,174,145,4.5,40.5,18
EA2002,64,231,186,5.8,34.4,24
EA2003,97,295,255,8.4,38.1,21
EA2005,40,75,62,4.3,64.7,28
EA2006,168,450,356,11.3,47.2,29
EA2011,106,248,205,8.8,51.6,4
EA2012,81,237,193,4.4,41.9,19
EA2013,50,149,121,5.4,41.2,17
EA2014,8,51,37,5.2,21.7,17
EA2015,14,92,76,6,17.9,14
EA2018,24,50,43,11.8,54.5,27
EA2020,64,281,229,13.1,28,93
EA2021,6,28,19,7,33.3,1
EA2026,11,83,64,7.3,16.7,2
EA2027,74,268,240,6.7,31.1,6
EA2028,85,244,211,7.5,40.4,17
EA2030,96,259,214,5.6,45,5
EA2033,1,100,64,6.4,1.9,7
EA2036,36,39,39,3.1,91.9,28
EA2039,36,150,108,9.3,33.8,7
EB3000,15,21,21,10.7,70,10
EB3001,1,2,2,9.5,50,10
EB3003,3,11,9,5.2,33.3,2
EB3006,46,170,168,12.6,27.2,23
EB3010,11,19,19,11.8,57.9,24
EB3013,3,8,7,11.8,50,28
EB3015,9,18,18,9.3,50,14
EB3019,12,26,26,12.5,48,20
EB3020,8,25,24,12.4,35,21
EB3022,37,203,199,11.6,18.6,79
EB3024,11,11,11,2.9,100,10
EB3025,14,15,15,4.9,93.3,10
EB3026,2,2,2,2.5,100,10
EB3031,7,11,11,7.4,60,2
EB3032,5,8,8,3.7,57.1,2
EB3033,3,8,7,3.3,50,2
EB3038,56,78,77,3.1,72.4,23
EB3039,91,115,115,4.7,79.1,23
EB3047,12,12,12,2.5,100,24
EB3048,8,12,12,5.2,66.7,24
EB3053,12,14,14,3.4,85.7,28
EB3056,6,9,9,2.9,66.7,14
EB3057,10,10,10,3.3,100,14
EB3066,16,20,20,3.3,78.9,20
EB3067,12,17,17,5.8,70.6,20
EB3068,21,25,25,3.1,82.6,21
EB3069,32,36,36,4.6,88.6,21
EB3072,57,89,88,3.7,65,81
EB3073,93,140,139,5.1,66.9,83
EB3077,10,13,13,4.6,76.9,10
EB3078,1,1,1,3,100,10
EB3081,4,8,8,5.6,50,2
EB3084,68,103,103,5.9,66.3,23
EB3088,9,11,11,5.8,81.8,24
EB3091,3,4,4,3.5,75,28
EB3093,9,10,10,4.9,90,14
EB3097,12,17,17,5.3,68.8,20
EB3098,17,21,21,5.1,80,21
EB3100,82,122,122,5.8,67.5,84
EB3102,4,4,4,14.8,100,10
EB3105,2,3,3,1.7,66.7,2
EB3108,19,22,22,16.3,85.7,23
EB3112,3,3,3,5.7,100,24
EB3115,2,2,2,6,100,28
EB3117,2,3,3,13,50,14
EB3121,4,4,4,12.3,100,20
EB3122,1,4,4,24.3,25,21
EB3124,2,2,2,16,100,86
EB3126,124,197,195,6.8,63.4,23
EB3127,129,241,239,6.3,53.9,82
EB3130,0,4,4,14,0,2
EB3132,7,28,28,14.1,25.9,20
EB3135,3,9,9,16.1,33.3,2
EB3136,9,11,11,9.8,81.8,19
EB3139,10,28,28,10.6,34.6,20
EB3142,4,10,10,8.4,44.4,2
EB3143,10,13,13,11.4,75,19
EB3145,21,32,32,13.3,64.3,1
EB3146,17,37,36,12.9,47.1,17
EB3147,5,8,8,4,62.5,1
EB3148,13,15,15,3.1,86.7,1
EB3149,15,19,19,2.9,77.8,17
EB3150,7,14,14,5.4,50,2
EB3151,18,21,21,5.3,85,2
EB3152,16,24,24,5.1,65.2,17
EB3153,1,4,4,6.3,25,2
EB3154,15,19,19,6,78.9,1
EB3155,14,23,23,6,61.9,17
EB3156,5,5,5,19.4,100,2
EB3157,3,6,6,9.3,50,17
EB3158,5,10,10,8.7,50,10
EB3159,21,26,26,6.1,80,10
EB3160,8,21,21,10.9,40,10
EB3162,9,9,9,2.4,100,10
EB3164,15,26,26,6.2,56,10
EB3165,3,3,3,12,100,10
EB3166,9,13,13,5.7,69.2,10
EB3168,0,2,1,1,0,2
EB3169,3,16,13,5.8,25,2
EB3172,0,7,7,10.6,0,23
EB3174,1,5,4,9,25,28
EB3175,8,9,9,2.4,88.9,28
EB3176,9,14,14,3.9,64.3,28
EB3184,1,5,5,8.5,25,24
EB3185,15,23,21,6.3,73.7,24
EB3188,1,5,5,11,20,14
EB3189,10,19,19,7.3,52.6,14
EB3190,0,3,3,8.5,0,2
EB3191,26,37,36,8,71.4,1
EB3193,0,5,4,6.3,0,20
EB3194,20,32,32,6.5,62.1,20
EB3195,1,4,4,7.5,25,21
EB3196,8,17,17,5.8,47.1,21
EB3197,0,5,4,8.8,0,17
EB3198,30,43,43,6.9,70.7,17
EB3199,1,8,6,7.2,20,80
EB3500,4,5,5,7.2,80,17
EB3502,3,7,7,4,42.9,3
EB3505,16,16,16,3.4,100,4
EB3506,8,11,11,4,70,4
EB3508,16,20,20,3.8,82.4,3
EB3509,18,18,18,3.3,100,1
EB3511,3,3,3,4,100,4
EB3515,7,7,7,3.2,100,17
EB3516,14,25,20,3.5,72.7,6
EB3517,23,30,30,7.8,75.9,6
EB3519,24,26,26,4.1,90.9,4
EB3520,15,17,17,2.9,85.7,6
EB3522,5,5,5,2.6,100,4
EB3523,17,19,19,4,87.5,5
EB3524,10,12,12,6.4,80,18
EB3526,9,10,10,5.8,87.5,17
EB3527,10,10,10,3.5,100,1
EB3529,9,9,9,3,100,5
EB3532,4,5,5,3.8,80,1
EB3533,2,5,5,4.7,33.3,17
EB3536,37,45,44,4.8,85.4,17
EB3540,10,10,10,5.4,100,21
EB3544,17,19,19,4.1,88.9,1
EB3550,8,10,10,3.4,77.8,3
EB3551,6,8,8,4.8,75,4
EB3553,14,16,16,4.3,87.5,3
EB3554,9,12,12,3.6,72.7,14
EB3555,12,13,13,3.4,90.9,2
EB3557,19,20,20,3.3,95,14
EB3559,10,10,10,4.9,100,5
EB3561,43,50,50,3.3,86.8,17
EB3562,7,10,10,4.6,70,6
EB3563,70,90,89,3.7,79,6
EB3564,14,18,18,4.5,75,88
EB3603,7,7,7,3,100,87
EB3604,8,9,9,3.3,87.5,4
EB3606,2,2,2,15.5,100,1
EB3607,3,3,3,3.5,100,4
EB3609,18,19,19,4.8,94.4,17
EB3610,15,18,18,5,83.3,2
EB3611,9,18,18,6.6,50,10
EB3613,2,3,3,4.7,66.7,17
EB3614,6,7,7,4.2,83.3,6
EB3616,3,3,3,5,100,17
EB3617,5,5,5,3.5,100,1
GO6800,10,10,10,3.8,100,22
GO6801,9,10,10,2.8,88.9,22
GO6808,9,10,9,4.9,100,13
GO6810,0,1,1,10,0,17
GO6813,4,5,5,6.3,75,17
GO6817,10,11,11,5.2,90.9,24
GO6818,3,3,3,7.5,100,17
GO6819,1,2,2,8.5,50,17
GO6820,2,2,2,11.5,100,205
GO6821,9,11,11,2.4,80,3
LD0001,5,5,5,4,100,27
LD0003,0,1,1,7,0,19
LD0007,1,1,1,2,100,27
LE0001,1,1,1,3,100,20
LE0006,0,1,1,5,0,14
LE0007,0,1,1,10,0,17
LE0008,1,1,1,1,100,17
LE0011,1,1,1,1,100,85
LE0013,1,1,1,7,100,22
LE0014,1,1,1,6,100,2
LE0016,0,1,1,9,0,2
LE0017,1,1,1,1,100,14
LP0001,1,1,1,3,100,10
LP0002,0,2,2,4,0,19
MA1005,5,7,7,4.9,71.4,17
MA1006,3,5,5,5.8,60,163
MB6000,16,16,16,7.4,100,6
MB6002,4,4,4,12.3,100,5
MB6003,2,3,3,22.3,66.7,7
MB6004,5,5,5,10.3,100,4
MB6005,4,5,5,9.8,80,8
MB6006,27,27,27,6.1,100,8
MB6007,9,9,9,3.2,100,3
MB6009,2,2,2,7,100,5
MB6200,2,2,2,10,100,4
MB6202,3,3,3,2,100,4
MB6206,4,4,4,3.8,100,4
MB6207,2,2,2,3,100,6
MB6208,4,5,5,4,75,6
MB6209,2,2,2,2.5,100,6
MB6211,9,9,9,1.7,100,5
MB6217,2,2,2,3.5,100,2
MB6219,6,6,6,2.8,100,3
MB6220,1,2,2,4.5,50,2
MB6222,3,3,3,4,100,17
MB6223,2,2,2,5.5,100,6
MB6224,1,2,1,3,100,17
MB6225,1,1,1,4,100,6
MB6240,2,2,2,3,100,4
MB6251,2,2,2,2.5,100,5
MB6254,2,2,2,4.5,100,4
MB6256,3,3,3,5.3,100,164
MB6258,3,3,3,3.3,100,1
MB6259,2,3,3,2.5,50,17
MB6262,2,2,2,2,100,17
MB6264,1,1,1,1,100,3
MB6265,1,1,1,1,100,17
MB6266,9,9,9,3.9,100,4
PB5000,7,10,9,6.3,77.8,10
PB5001,11,13,12,1.4,91.7,10
PB5002,4,8,8,4,50,1
PB5003,0,4,4,4,0,1
PB5004,4,4,4,2,100,1
PB5005,3,9,7,5.1,42.9,1
PB5006,6,9,8,3.9,71.4,2
PB5008,10,13,12,7.1,83.3,13
PB5011,25,29,28,4.3,89.3,11
PB5013,5,7,7,6.4,71.4,12
PB5015,13,21,20,6.3,65,20
PB5016,17,19,18,4,94.4,21
PB5017,13,19,19,6.9,68.4,19
PB5019,15,16,15,3.2,100,19
PB5020,2,8,8,8,25,19
PB5021,12,20,19,4.9,61.1,130
PB5026,45,53,50,1.6,91.1,10
PB5027,29,31,30,1.4,96.6,1
PB5028,9,16,15,2.3,57.1,1
PB5029,36,39,38,2.2,94.7,1
PB5031,32,40,40,3,80,2
PB5033,37,41,37,2,100,26
PB5037,85,89,87,1.8,97.5,11
PB5038,11,11,11,1.6,100,8
PB5042,20,24,24,2,81.8,14
PB5044,4,6,6,2,66.7,12
PB5046,66,67,67,1.8,98.5,20
PB5047,57,59,57,2.1,100,21
PB5048,64,68,66,1.7,96.8,19
PB5051,29,34,34,1.9,85.3,19
PB5052,2,2,2,6,100,132
PB5053,2,3,3,6,50,8
PB5055,1,1,1,13,100,12
PB5056,16,21,21,3,76.2,20
PB5060,17,18,18,1.8,94.4,21
PB5062,4,7,7,3.7,57.1,12
