hunt_code,species,sex_type,hunt_type,weapon,hunt_class,hunt_name,season,access_type,eligibility_class,draw_family,youth_flag,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status
DB1206,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Bear Mountain CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,11.0,11.0,100.0,3.3,4.7,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1207,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Bear Springs CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,3.0,2.0,66.7,3.3,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1208,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Blackhawk CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,7.0,7.0,100.0,4.0,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1209,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Blind Springs CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,5.0,4.0,80.0,3.0,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1211,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Blue Spring Hills CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,10.0,100.0,4.8,4.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1212,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Bluebell CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,10.0,100.0,3.3,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1213,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Boobe Hole CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,18.0,8.0,44.4,4.1,4.1,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1215,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Buckhorn Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,5.0,3.0,60.0,2.0,3.7,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1216,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Castle Valley Outdoors CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,7.0,7.0,100.0,2.6,4.6,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1217,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Causey Spring CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,13.0,12.0,92.3,3.0,4.9,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1219,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Chimney Rock CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,15.0,13.0,86.7,3.7,4.6,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1222,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Coldwater Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,2.0,0.0,2.0,0.0,0.0,0.0,FULL_SPLIT,True,12.0,12.0,100.0,2.2,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1224,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Cotton Thomas CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,10.0,9.0,90.0,4.6,4.1,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
