boundary_id,hunt_number,hunt_name,species,gender,weapon,hunt_type,years,season_date_text,quota_total,quota_resident,quota_nonresident,source
194,DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,DS6609,"San Rafael, North",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,2026,Sept 12 2026 - Nov 10 2026,8,8,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EA1084,"San Rafael, North",Elk,Antlerless,Any Legal Weapon,General Season,2025,Nov 08 2025 - Jan 31 2026,5,4,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EB1001,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,2025,Oct 04 2025 - Oct 10 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EB1002,Any Bull Elk Units,Elk,Bull,Muzzleloader,General Season - Any Bull,2025,Oct 29 2025 - Nov 06 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,Bull,Any Legal Weapon,General Season - Any Bull,2026,Sept 12 2026 - Sept 22 2026,750,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EB1010,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,2025,Oct 11 2025 - Oct 17 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
194,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
200,GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Hunters Choice,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
200,GO6820,"Wasatch Mtns, Timpanogos",Mountain Goat,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2026,Sept 05 2026 - Nov 25 2026,10,8,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
201,PB5337,Heist CWMU,Pronghorn,Buck,Any Legal Weapon,CWMU,2026,Contact operator for 2026 season dates,0,2,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
201,PD1052,Heist CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,2025,Contact operator for 2025 season dates,,6,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
202,LP5046,"San Rafael, North - Private Land Only",Pronghorn,Buck,Any Legal Weapon,Limited Entry - Private Land Only,2025,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
202,PB5015,"San Rafael, North",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,23,21,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
202,PB5046,"San Rafael, North",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,69,62,7,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
202,PB5056,"San Rafael, North",Pronghorn,Buck,Muzzleloader,Limited Entry,2026,Sept 23 2026 - Oct 01 2026,23,21,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,DB1015,Diamond Mtn,Deer,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,24,22,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,DB1023,Diamond Mtn,Deer,Buck,Any Legal Weapon,Limited Entry,2026,Oct 17 2026 - Oct 25 2026,68,61,7,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,DB1038,Diamond Mtn,Deer,Buck,Muzzleloader,Limited Entry,2026,Sept 23 2026 - Oct 01 2026,24,22,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,DB1047,Diamond Mtn,Deer,Buck,Multiseason,Limited Entry,2026,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",4,4,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EA1089,Diamond Mtn,Elk,Antlerless,Any Legal Weapon,General Season,2025,Nov 01 2025 - Nov 09 2025,50,45,5,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EA1090,Diamond Mtn,Elk,Antlerless,Any Legal Weapon,General Season,2025,Nov 15 2025 - Nov 23 2025,50,45,5,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EA2030,Diamond Mtn,Elk,Antlerless,Any Legal Weapon,Private Lands Only,2025,Aug 01 2025 - Jan 31 2026,200,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,2025,Oct 04 2025 - Oct 16 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,2025,Oct 29 2025 - Nov 06 2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,2025,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 |  ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3020,Diamond Mtn,Elk,Bull,Archery,Limited Entry,2026,Aug 15 2026 - Sept 15 2026,28,25,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3068,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry,2026,Sept 16 2026 - Sept 20 2026,11,10,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3069,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry,2026,Oct 03 2026 - Oct 15 2026,33,30,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3098,Diamond Mtn,Elk,Bull,Muzzleloader,Limited Entry,2026,Sept 21 2026 - Oct 02 2026,17,15,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3122,Diamond Mtn,Elk,Bull,Multiseason,Limited Entry,2026,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,3,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3195,Diamond Mtn,Elk,Bull,Archery,Limited Entry,2026,Nov 28 2026 - Dec 13 2026,5,4,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EB3196,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry,2026,Nov 07 2026 - Nov 15 2026,19,17,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EL3020,Diamond Mtn,Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EL3068,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EL3069,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EL3098,Diamond Mtn,Elk,Bull,Muzzleloader,Limited Entry - Private Land Only,2025,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EL3195,Diamond Mtn,Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,EL3196,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
206,LD1023,Diamond Mtn - Private Land Only,Deer,Buck,Any Legal Weapon,Limited Entry - Private Land Only,2025,Oct 18 2025 - Oct 26 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
208,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
208,PB5017,Vernal,Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,20,18,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
208,PB5048,Vernal,Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,60,54,6,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
208,PB5072,Vernal,Pronghorn,Buck,Muzzleloader,Limited Entry,2026,Sept 23 2026 - Oct 01 2026,20,18,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
218,DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,2026,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",2000,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
218,EX1000,Elk Extended Archery,Elk,Hunters Choice,Archery,Extended Archery,2025,"Aug 16 - Dec 15, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EA2038,Wasatch Mtns,Elk,Antlerless,Archery,General Season,2025,Aug 16 2025 - Sep 05 2025,1200,1080,120,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EA2045,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,2025,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,2025,Oct 04 2025 - Oct 16 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,2025,Oct 29 2025 - Nov 06 2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,2025,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 |  ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3022,Wasatch Mtns,Elk,Bull,Archery,Limited Entry,2026,Aug 15 2026 - Sept 15 2026,145,130,15,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3072,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,2026,Sept 16 2026 - Sept 20 2026,60,54,6,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3073,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,2026,Nov 07 2026 - Nov 15 2026,99,89,10,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3100,Wasatch Mtns,Elk,Bull,Muzzleloader,Limited Entry,2026,Sept 21 2026 - Oct 02 2026,87,78,9,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3124,Wasatch Mtns,Elk,Bull,Multiseason,Limited Entry,2026,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",17,15,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3127,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,2026,Oct 03 2026 - Oct 15 2026,172,155,17,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EB3199,Wasatch Mtns,Elk,Bull,Archery,Limited Entry,2026,Nov 28 2026 - Dec 13 2026,10,9,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EL3022,Wasatch Mtns,Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EL3072,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EL3073,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EL3100,Wasatch Mtns,Elk,Bull,Muzzleloader,Limited Entry - Private Land Only,2025,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EL3127,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
222,EL3199,Wasatch Mtns,Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
224,EA1106,"Wasatch Mtns, Avintaquin",Elk,Antlerless,Any Legal Weapon,General Season,2025,Jan 03 2026 - Jan 18 2026,200,180,20,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
224,EA1217,"Wasatch Mtns, Avintaquin",Elk,Antlerless,Any Legal Weapon,General Season,2025,Oct 04 2025 - Oct 16 2025,150,135,15,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
225,EA1276,"Wasatch Mtns, Box Elder Peak",Elk,Antlerless,Any Legal Weapon,General Season,2025,Oct 04 2025 - Oct 16 2025,45,40,5,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
225,GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Hunters Choice,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
225,GO6818,"Wasatch Mtns, Box Elder Peak",Mountain Goat,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2026,Sept 05 2026 - Nov 25 2026,3,3,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
226,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
227,EA2013,"Wasatch Mtns, Currant Creek",Elk,Antlerless,Any Legal Weapon,Private Lands Only,2025,Aug 01 2025 - Jan 31 2026,2000,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
231,GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Hunters Choice,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
231,GO6819,"Wasatch Mtns, Lone Peak",Mountain Goat,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2026,Sept 05 2026 - Nov 25 2026,1,1,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
233,GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Hunters Choice,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
233,GO6813,"Wasatch Mtns, Provo Peak",Mountain Goat,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2026,Sept 05 2026 - Nov 25 2026,5,5,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
234,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
234,EA1110,"Wasatch Mtns, Salt Lake",Elk,Antlerless,Any Legal Weapon,General Season,2025,Nov 15 2025 - Jan 31 2026,45,40,5,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
234,EA2045,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,2025,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
237,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
238,EA1111,"Wasatch Mtns, Wallsburg",Elk,Antlerless,Any Legal Weapon,General Season,2025,Nov 15 2025 - Dec 14 2025,35,31,4,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
238,EA1112,"Wasatch Mtns, Wallsburg",Elk,Antlerless,Any Legal Weapon,General Season,2025,Dec 20 2025 - Jan 31 2026,55,49,6,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
239,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
240,EA1113,"Wasatch Mtns, West Heber",Elk,Antlerless,Any Legal Weapon,General Season,2025,Nov 15 2025 - Jan 31 2026,30,27,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,2025,Oct 04 2025 - Oct 16 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,2025,Oct 29 2025 - Nov 06 2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,2025,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 |  ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB3137,"West Desert, Deep Creek",Elk,Bull,Archery,Limited Entry,2026,Sept 01 2026 - Sept 30 2026,15,13,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EB3144,"West Desert, Deep Creek",Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,2026,Nov 07 2026 - Nov 30 2026,15,13,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EL3137,"West Desert, Deep Creek",Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
241,EL3144,"West Desert, Deep Creek",Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry - Private Land Only,2025,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
243,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
244,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
244,PB5019,"West Desert, Riverbed",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,20,18,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
244,PB5050,"West Desert, Riverbed",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,81,73,8,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
245,LP5051,"West Desert, Rush Valley - Private Land Only",Pronghorn,Buck,Any Legal Weapon,Limited Entry - Private Land Only,2025,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
245,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
245,PB5020,"West Desert, Rush Valley",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,9,8,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
245,PB5051,"West Desert, Rush Valley",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,36,32,4,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
246,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
246,PB5021,"West Desert, Snake Valley",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,26,23,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
246,PB5052,"West Desert, Snake Valley",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,106,95,11,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
247,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
248,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
248,DB1016,"West Desert, Vernon",Deer,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,51,46,5,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
248,DB1024,"West Desert, Vernon",Deer,Buck,Any Legal Weapon,Limited Entry,2026,Oct 17 2026 - Oct 25 2026,144,130,14,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
248,DB1042,"West Desert, Vernon",Deer,Buck,Muzzleloader,Limited Entry,2026,Sept 23 2026 - Oct 01 2026,51,46,5,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
