hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6504,2026,Resident,27,56.217,SLEEPER,22.727,71.85,92.0,70.0,60.0
BI6504,2026,Resident,26,44.154,HIGH QUALITY / BAD ODDS,2.941,71.85,84.0,43.75,60.0
BI6504,2026,Resident,25,42.954,HIGH QUALITY / BAD ODDS,2.941,71.85,76.0,43.75,60.0
BI6504,2026,Resident,24,40.917,HIGH QUALITY / BAD ODDS,2.632,71.85,68.0,38.889,60.0
BI6504,2026,Resident,23,39.717,HIGH QUALITY / BAD ODDS,2.632,71.85,60.0,38.889,60.0
BI6504,2026,Resident,22,37.057,HIGH QUALITY / BAD ODDS,2.083,71.85,52.0,30.435,60.0
BI6504,2026,Resident,21,38.656,HIGH QUALITY / BAD ODDS,3.125,71.85,44.0,46.667,60.0
BI6504,2026,Resident,20,34.236,HIGH QUALITY / BAD ODDS,1.923,71.85,36.0,28.0,60.0
BI6504,2026,Resident,19,33.958,HIGH QUALITY / BAD ODDS,2.273,71.85,28.0,33.333,60.0
BI6504,2026,Resident,18,31.649,HIGH QUALITY / BAD ODDS,1.852,71.85,20.0,26.923,60.0
BI6504,2026,Resident,17,29.152,HIGH QUALITY / BAD ODDS,1.351,71.85,12.0,19.444,60.0
BI6504,2026,Resident,16,28.259,HIGH QUALITY / BAD ODDS,1.471,71.85,4.0,21.212,60.0
BI6504,2026,Resident,15,28.836,HIGH QUALITY / BAD ODDS,1.923,71.85,0.0,28.0,60.0
BI6504,2026,Resident,14,28.316,HIGH QUALITY / BAD ODDS,1.724,71.85,0.0,25.0,60.0
BI6504,2026,Resident,13,26.617,HIGH QUALITY / BAD ODDS,1.064,71.85,0.0,15.217,60.0
BI6504,2026,Resident,12,26.507,HIGH QUALITY / BAD ODDS,1.02,71.85,0.0,14.583,60.0
BI6504,2026,Resident,11,25.934,HIGH QUALITY / BAD ODDS,0.794,71.85,0.0,11.29,60.0
BI6504,2026,Resident,10,25.684,HIGH QUALITY / BAD ODDS,0.694,71.85,0.0,9.859,60.0
BI6504,2026,Resident,9,25.385,HIGH QUALITY / BAD ODDS,0.575,71.85,0.0,8.14,60.0
BI6504,2026,Resident,8,25.036,HIGH QUALITY / BAD ODDS,0.435,71.85,0.0,6.14,60.0
BI6504,2026,Resident,7,25.162,HIGH QUALITY / BAD ODDS,0.485,71.85,0.0,6.863,60.0
BI6504,2026,Resident,6,24.911,HIGH QUALITY / BAD ODDS,0.385,71.85,0.0,5.426,60.0
BI6504,2026,Resident,5,24.837,HIGH QUALITY / BAD ODDS,0.355,71.85,0.0,5.0,60.0
BI6504,2026,Resident,4,24.957,HIGH QUALITY / BAD ODDS,0.403,71.85,0.0,5.691,60.0
BI6504,2026,Resident,3,24.795,HIGH QUALITY / BAD ODDS,0.338,71.85,0.0,4.762,60.0
BI6504,2026,Resident,2,24.849,HIGH QUALITY / BAD ODDS,0.36,71.85,0.0,5.072,60.0
BI6504,2026,Resident,1,32.629,HIGH QUALITY / BAD ODDS,3.333,71.85,0.0,50.0,60.0
BI6504,2026,Resident,0,24.504,HIGH QUALITY / BAD ODDS,0.22,71.85,0.0,3.097,60.0
BI6504,2026,Nonresident,32,29.062,INSUFFICIENT DATA,0.0,65.85,84.0,0.0,0.0
BI6504,2026,Nonresident,31,30.262,INSUFFICIENT DATA,0.0,65.85,92.0,0.0,0.0
BI6504,2026,Nonresident,30,31.462,INSUFFICIENT DATA,0.0,65.85,100.0,0.0,0.0
BI6504,2026,Nonresident,29,62.762,GOOD VALUE,50.0,65.85,92.0,100.0,0.0
BI6504,2026,Nonresident,28,47.562,POINT CREEP WARNING,10.0,65.85,84.0,100.0,0.0
BI6504,2026,Nonresident,27,51.612,SLEEPER,25.0,65.85,76.0,100.0,0.0
